timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577994222684,7,get,200,OK,Thread Group 1-1,text,true,,2442,493,1,1,http://192.168.56.101/group.php,7,0,1
1577994222697,12,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,12,0,0
1577994222709,8,post,200,OK,Thread Group 1-1,text,true,,2406,694,1,1,http://192.168.56.101/group.php,8,0,0
1577994222717,6,get,200,OK,Thread Group 1-1,text,true,,2487,493,1,1,http://192.168.56.101/group.php,6,0,0
1577994222723,3,get,200,OK,Thread Group 1-1,text,true,,2487,493,1,1,http://192.168.56.101/group.php,3,0,0
1577994222726,3,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,3,0,0
1577994222729,7,post,200,OK,Thread Group 1-1,text,true,,2408,694,1,1,http://192.168.56.101/group.php,7,0,0
1577994222736,35,get,200,OK,Thread Group 1-1,text,true,,2495,493,1,1,http://192.168.56.101/group.php,35,0,0
1577994222772,2,get,200,OK,Thread Group 1-1,text,true,,2495,493,1,1,http://192.168.56.101/group.php,2,0,0
1577994222774,3,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,3,0,0
1577994222777,5,post,200,OK,Thread Group 1-1,text,true,,2408,694,1,1,http://192.168.56.101/group.php,5,0,0
1577994222783,2,get,200,OK,Thread Group 1-1,text,true,,2502,493,1,1,http://192.168.56.101/group.php,2,0,0
1577994222786,2,get,200,OK,Thread Group 1-1,text,true,,2502,493,1,1,http://192.168.56.101/group.php,2,0,0
1577994222788,3,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,3,0,0
1577994222791,6,post,200,OK,Thread Group 1-1,text,true,,2408,694,1,1,http://192.168.56.101/group.php,6,0,0
1577994222797,3,get,200,OK,Thread Group 1-1,text,true,,2507,493,1,1,http://192.168.56.101/group.php,3,0,0
1577994222800,3,get,200,OK,Thread Group 1-1,text,true,,2507,493,1,1,http://192.168.56.101/group.php,3,0,0
1577994222803,3,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,3,0,0
1577994222806,5,post,200,OK,Thread Group 1-1,text,true,,2408,694,1,1,http://192.168.56.101/group.php,5,0,0
1577994222811,3,get,200,OK,Thread Group 1-1,text,true,,2512,493,1,1,http://192.168.56.101/group.php,3,0,0
1577994222814,3,get,200,OK,Thread Group 1-1,text,true,,2512,493,1,1,http://192.168.56.101/group.php,3,0,0
1577994222817,3,post,200,OK,Thread Group 1-1,text,true,,2513,633,1,1,http://192.168.56.101/group.php,3,0,0
1577994222820,6,post,200,OK,Thread Group 1-1,text,true,,2408,694,1,1,http://192.168.56.101/group.php,6,0,0
