timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577992296535,63,get,200,OK,Thread Group 1-3,text,true,,2547,493,49,49,http://192.168.56.101/group.php,63,0,0
1577992296570,32,post,200,OK,Thread Group 1-6,text,true,,2513,633,49,49,http://192.168.56.101/group.php,31,0,0
1577992296577,29,get,200,OK,Thread Group 1-10,text,true,,2547,493,50,50,http://192.168.56.101/group.php,29,0,0
1577992296576,31,post,200,OK,Thread Group 1-7,text,true,,2408,694,50,50,http://192.168.56.101/group.php,31,0,0
1577992296553,55,get,200,OK,Thread Group 1-9,text,true,,2547,493,50,50,http://192.168.56.101/group.php,55,0,0
1577992296584,31,post,200,OK,Thread Group 1-4,text,true,,2408,694,53,53,http://192.168.56.101/group.php,31,0,0
1577992296577,44,post,200,OK,Thread Group 1-5,text,true,,2408,694,54,54,http://192.168.56.101/group.php,44,0,0
1577992296589,34,post,200,OK,Thread Group 1-8,text,true,,2408,694,55,55,http://192.168.56.101/group.php,34,0,0
1577992296581,45,get,200,OK,Thread Group 1-2,text,true,,2559,493,55,55,http://192.168.56.101/group.php,44,0,0
1577992296571,55,get,200,OK,Thread Group 1-11,text,true,,2564,493,55,55,http://192.168.56.101/group.php,55,0,0
1577992296608,34,get,200,OK,Thread Group 1-9,text,true,,2564,493,61,61,http://192.168.56.101/group.php,34,0,0
1577992296607,37,post,200,OK,Thread Group 1-10,text,true,,2513,633,62,62,http://192.168.56.101/group.php,37,0,0
1577992296599,48,get,200,OK,Thread Group 1-3,text,true,,2564,493,62,62,http://192.168.56.101/group.php,47,0,0
1577992296586,61,post,200,OK,Thread Group 1-1,text,true,,2408,694,62,62,http://192.168.56.101/group.php,61,0,0
1577992296626,26,get,200,OK,Thread Group 1-11,text,true,,2564,493,63,63,http://192.168.56.101/group.php,26,0,0
1577992296602,60,post,200,OK,Thread Group 1-6,text,true,,2408,694,64,64,http://192.168.56.101/group.php,60,0,0
1577992296607,58,get,200,OK,Thread Group 1-7,text,true,,2569,493,64,64,http://192.168.56.101/group.php,58,0,0
1577992296624,46,get,200,OK,Thread Group 1-8,text,true,,2574,493,65,65,http://192.168.56.101/group.php,46,0,0
1577992296621,49,get,200,OK,Thread Group 1-5,text,true,,2574,493,65,65,http://192.168.56.101/group.php,49,0,0
1577992296626,44,post,200,OK,Thread Group 1-2,text,true,,2513,633,65,65,http://192.168.56.101/group.php,44,0,0
1577992296643,35,post,200,OK,Thread Group 1-9,text,true,,2513,633,65,65,http://192.168.56.101/group.php,35,0,0
1577992296647,33,get,200,OK,Thread Group 1-1,text,true,,2574,493,65,65,http://192.168.56.101/group.php,33,0,0
1577992296644,37,post,200,OK,Thread Group 1-10,text,true,,2408,694,65,65,http://192.168.56.101/group.php,37,0,0
