timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577995483865,259,get,200,OK,Group list 1-5,text,true,,12671,493,5,15,http://192.168.56.101/group.php,226,0,1
1577995483898,283,get,200,OK,Group list 1-1,text,true,,12680,493,5,15,http://192.168.56.101/group.php,243,0,0
1577995483966,225,get,200,OK,Group list 1-2,text,true,,12686,493,5,15,http://192.168.56.101/group.php,223,0,0
1577995484181,449,get,200,OK,Group list 1-1,text,true,,12693,493,5,15,http://192.168.56.101/group.php,406,0,0
1577995484124,513,get,200,OK,Group list 1-5,text,true,,12689,493,5,15,http://192.168.56.101/group.php,499,0,0
1577995483966,675,get,200,OK,Group list 1-4,text,true,,12689,493,5,15,http://192.168.56.101/group.php,589,0,0
1577995484120,534,get,200,OK,Group list 1-3,text,true,,12690,493,5,15,http://192.168.56.101/group.php,493,0,0
1577995484191,472,get,200,OK,Group list 1-2,text,true,,12692,493,5,15,http://192.168.56.101/group.php,471,0,0
1577995484630,110,get,200,OK,Group list 1-1,text,true,,12752,493,5,15,http://192.168.56.101/group.php,106,0,0
1577995484637,127,get,200,OK,Group list 1-5,text,true,,12755,493,5,15,http://192.168.56.101/group.php,119,0,0
1577995484641,516,get,200,OK,Group list 1-4,text,true,,12755,493,6,18,http://192.168.56.101/group.php,515,0,0
1577995484663,552,get,200,OK,Group list 1-2,text,true,,12755,493,6,18,http://192.168.56.101/group.php,550,0,0
1577995484740,521,get,200,OK,Group list 1-1,text,true,,12755,493,6,18,http://192.168.56.101/group.php,446,0,0
1577995484764,497,get,200,OK,Group list 1-5,text,true,,12755,493,6,18,http://192.168.56.101/group.php,466,0,0
1577995484864,408,get,200,OK,Group list 1-6,text,true,,12765,493,6,18,http://192.168.56.101/group.php,370,0,1
1577995485158,196,get,200,OK,Group list 1-4,text,true,,12817,493,6,18,http://192.168.56.101/group.php,194,0,0
1577995485215,175,get,200,OK,Group list 1-2,text,true,,12820,493,6,18,http://192.168.56.101/group.php,174,0,0
1577995484654,871,get,200,OK,Group list 1-3,text,true,,12755,493,6,18,http://192.168.56.101/group.php,737,0,0
1577995485261,567,get,200,OK,Group list 1-1,text,true,,12822,493,6,18,http://192.168.56.101/group.php,368,0,0
1577995485262,580,get,200,OK,Group list 1-5,text,true,,12822,493,6,18,http://192.168.56.101/group.php,460,0,0
1577995485354,665,get,200,OK,Group list 1-4,text,true,,12832,493,7,21,http://192.168.56.101/group.php,663,0,0
1577995485390,667,get,200,OK,Group list 1-2,text,true,,12838,493,7,21,http://192.168.56.101/group.php,666,0,0
1577995485272,812,get,200,OK,Group list 1-6,text,true,,12822,493,7,21,http://192.168.56.101/group.php,783,0,0
1577995485525,580,get,200,OK,Group list 1-3,text,true,,12855,493,7,21,http://192.168.56.101/group.php,422,0,0
1577995485864,561,get,200,OK,Group list 1-7,text,true,,12881,493,7,21,http://192.168.56.101/group.php,560,0,1
1577995485842,622,get,200,OK,Group list 1-5,text,true,,12873,493,7,21,http://192.168.56.101/group.php,488,0,0
